127.0.0.1 - - [09/May/2020:08:09:46 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/May/2020:08:09:49 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:09:49 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [09/May/2020:08:09:50 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:11 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:11 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:11 +0700] "GET /zio.com/template/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:17 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5178
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:18 +0700] "GET /zio.com/product?categoryId=2&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5176
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:18 +0700] "GET /zio.com/product?categoryId=3&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:19 +0700] "GET /zio.com/product?categoryId=4&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 5179
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:21 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:21 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:26 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:28 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:28 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:28 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:31 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 10997
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:31 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:33 +0700] "GET /zio.com/admin-product?type=edit HTTP/1.1" 200 14610
0:0:0:0:0:0:0:1 - - [09/May/2020:08:10:33 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:17 +0700] "POST /zio.com/api-admin-product HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:19 +0700] "POST /zio.com/admin-upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:19 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:19 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:19 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:33 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:33 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:33 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:46 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:47 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:47 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:47 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:47 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:47 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:48 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:48 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:48 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:49 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11603
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:49 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:11:49 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [09/May/2020:08:12:08 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 11592
