127.0.0.1 - - [12/Jun/2020:07:36:15 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:21 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:23 +0700] "GET /zio.com/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:24 +0700] "GET /zio.com/template/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:24 +0700] "GET /zio.com/template/login/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:24 +0700] "GET /zio.com/template/login/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:24 +0700] "GET /zio.com/template/login/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:36:26 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:05 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:05 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=61 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=63 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 316774
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=56 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=59 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=58 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:06 +0700] "GET /zio.com/image?id=57 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:38 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:38 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:38 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:38 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:43 +0700] "GET /zio.com/product?categoryId=1&page=2&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:43 +0700] "GET /zio.com/image?id=34 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:43 +0700] "GET /zio.com/image?id=56 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:44 +0700] "GET /zio.com/product?categoryId=2&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 7455
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:45 +0700] "GET /zio.com/image?id=58 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:45 +0700] "GET /zio.com/image?id=63 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:45 +0700] "GET /zio.com/image?id=61 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:46 +0700] "GET /zio.com/product?categoryId=3&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:46 +0700] "GET /zio.com/image?id=57 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:46 +0700] "GET /zio.com/image?id=59 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:46 +0700] "GET /zio.com/image?id=35 HTTP/1.1" 500 15929
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:47 +0700] "GET /zio.com/product?categoryId=4&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 6246
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:47 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:47 +0700] "GET /zio.com/product?categoryId=5&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 6249
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:38:47 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:43:38 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:43:38 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:43:51 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:43:52 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 10849
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:06 +0700] "GET /zio.com/admin-slide-image HTTP/1.1" 200 12951
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:06 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 316774
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:06 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:06 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:32 +0700] "GET /zio.com/admin-bill?type=1&page=1&maxPageItem=4&sortName=id&sortBy=desc HTTP/1.1" 200 14686
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:47 +0700] "GET /zio.com/admin-user?type=list&page=1&maxPageItem=4&sortName=username&sortBy=asc HTTP/1.1" 200 17914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:57 +0700] "PUT /zio.com/api-admin-user HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:44:59 +0700] "GET /zio.com/admin-user?type=list&page=1&maxPageItem=4&sortName=username&sortBy=asc HTTP/1.1" 200 17914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:45:00 +0700] "PUT /zio.com/api-admin-user HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:45:02 +0700] "GET /zio.com/admin-user?type=list&page=1&maxPageItem=4&sortName=username&sortBy=asc HTTP/1.1" 200 17914
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:50:48 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:50:48 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:50:52 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2020:07:50:52 +0700] "GET /zio.com/dang-nhap?action=login&message=username_password_invalid&alert=danger HTTP/1.1" 200 1635
