127.0.0.1 - - [10/Jul/2020:20:46:08 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:09 +0700] "GET /zio.com/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:09 +0700] "GET /zio.com/dang-nhap?action=login&message=not_login&alert=danger HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:10 +0700] "GET /zio.com/template/login/css/style.css HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:10 +0700] "GET /zio.com/template/login/css/bootstrap.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:10 +0700] "GET /zio.com/template/login/js/jquery.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:10 +0700] "GET /zio.com/template/login/js/bootstrap.js HTTP/1.1" 200 173324
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:15 +0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:20 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:20 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 12816
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:20 +0700] "GET /zio.com/template/web/css/style.css HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/template/icon/kit.fontawesome.js HTTP/1.1" 200 4192
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=61 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=59 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 316774
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=53 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=58 HTTP/1.1" 500 10945
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=57 HTTP/1.1" 500 14028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=56 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:21 +0700] "GET /zio.com/image?id=54 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:26 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:26 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:26 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:26 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:28 +0700] "GET /zio.com/product?categoryId=1&page=2&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:28 +0700] "GET /zio.com/image?id=34 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:28 +0700] "GET /zio.com/image?id=56 HTTP/1.1" 500 13914
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:29 +0700] "GET /zio.com/product?categoryId=1&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:29 +0700] "GET /zio.com/image?id=36 HTTP/1.1" 500 12406
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:29 +0700] "GET /zio.com/image?id=37 HTTP/1.1" 500 17028
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:46:29 +0700] "GET /zio.com/image?id=62 HTTP/1.1" 500 13914
